ARRIVI - ESTERI;PRESENZE - ESTERI;PERMANENZA MEDIA ESTERI;ARRIVI - ITALIANI;PRESENZE - ITALIANI;PERMANENZA MEDIA ITALIANI
3263;12356;3,786699356;43441;107908;2,484012799
4231;17016;4,021744268;50108;116424;2,323461324
6112;23520;3,848167539;53854;128108;2,378801946
11110;37996;3,419981998;62337;149956;2,405569726
29242;151139;5,168558922;91918;218920;2,381688026
36008;225290;6,256665186;163046;810754;4,972547625
40443;305833;7,562075019;222443;1727979;7,768187805
36898;265877;7,205729308;342284;2666794;7,791173412
34467;247665;7,185568805;109947;711613;6,472327576
17139;119734;6,986055196;61274;164643;2,686996116
6834;37037;5,419520047;47710;109847;2,302389436
4332;25165;5,809095106;49194;111765;2,271923405
4112;22849;5,556663424;40888;103484;2,530913716
4121;22515;5,463479738;47932;106478;2,221438705
6994;36013;5,149127824;50805;112137;2,207204015
15217;79834;5,246369192;60524;139991;2,312983279
26555;133484;5,026699303;92322;211632;2,29232469
33879;234641;6,925853774;156463;754008;4,819081828
37968;303964;8,005794353;232549;1756663;7,55394777
36540;251417;6,880596606;356713;2680027;7,513118389
31198;236373;7,576543368;112176;720739;6,425073099
16962;120091;7,080002358;61119;157303;2,573716847
4213;19886;4,720151911;47967;122510;2,554047574
2432;11104;4,565789474;49048;117585;2,397345458
2177;9385;4,310978411;40490;108076;2,669202272
2119;10802;5,097687588;46061;110869;2,407003756
4725;20198;4,274708995;45879;119055;2,594978095
11223;63562;5,663548071;57874;140184;2,422227598
27330;148960;5,450420783;73488;187996;2,558186371
30964;227944;7,361581191;136020;667917;4,910432289
38013;300162;7,896298635;253236;1744289;6,887997757
33289;244897;7,356694404;317789;2644141;8,320429593
32068;229915;7,169608332;104897;631396;6,019199786
18033;115780;6,420451395;63018;165306;2,623155289
3214;16722;5,202862477;44638;114010;2,554101886
2098;10884;5,187797903;46612;114819;2,463292714
2782;12036;4,326383896;42200;114991;2,724905213
2556;11623;4,547339593;46224;109134;2,360981308
4923;22222;4,51391428;46956;120064;2,556946929
15504;81813;5,276896285;57749;144224;2,497428527
26764;141109;5,272343446;68496;173754;2,536702873
36224;248807;6,8685678;152833;707924;4,632010103
44772;352324;7,869293308;271424;1795145;6,613803496
36499;303255;8,308583797;327882;2679261;8,171418376
36777;264101;7,181145825;112276;652660;5,812996544
21461;140706;6,556358045;61602;176513;2,865377747
4659;40687;8,732989912;46034;123754;2,688317331
2569;21263;8,276761386;46630;110905;2,378404461
3410;21882;6,417008798;47931;132733;2,769251633
3350;20031;5,979402985;49138;126401;2,572367618
4982;26327;5,284423926;52297;138902;2,656022334
10374;41554;4,0055909;59063;151994;2,573421601
26124;131174;5,021206553;68635;178482;2,600451665
39547;259367;6,55844944;155401;676687;4,354457179
49741;381220;7,664100038;248281;1682619;6,777075169
42933;322900;7,521021126;327611;2596523;7,92562826
38554;260072;6,745655444;115924;634071;5,469712915
18901;129895;6,872387704;56170;167747;2,986416236
3771;30674;8,134181915;42122;121985;2,895992593
2814;20227;7,187988628;42263;104719;2,477793815
2239;15688;7,006699419;42340;119589;2,824492206
2178;12060;5,537190083;47017;116818;2,48459068
4084;15749;3,856268364;48440;125005;2,580615194
11603;40610;3,499956908;50923;131887;2,589929894
31562;161079;5,103573918;66515;175200;2,633992333
42001;256405;6,104735602;147018;616595;4,194010257
50139;386548;7,709527514;224831;1537616;6,838985727
45623;323006;7,079893913;339283;2533829;7,468187324
38448;271852;7,070640866;107526;601853;5,597278798
18484;125074;6,766608959;57524;161120;2,800917878
3493;22611;6,473232179;44145;116261;2,633616491
4476;32734;7,313226095;42574;103649;2,434561
2378;9777;4,111438183;36567;99386;2,71791506
2123;8891;4,187941592;39624;99455;2,509968706
3779;14258;3,772955808;42464;109613;2,581315938
9225;28041;3,039674797;50519;127102;2,515924702
23389;105889;4,527299158;67420;159340;2,363393652
40455;254386;6,288122605;129575;533920;4,120547945
49303;394248;7,996430238;213508;1486981;6,964521236
48323;363851;7,529561492;349466;2539070;7,2655709
39595;298254;7,532617755;98665;618551;6,269203872
16665;106180;6,371437144;52548;159060;3,026946792
3194;19503;6,106136506;39407;110594;2,806455706
2839;15432;5,435716802;41342;101149;2,446640221
3439;18333;5,330910148;38158;100628;2,637140311
2140;13007;6,078037383;44740;104844;2,343406348
4033;18975;4,704934292;43583;109994;2,523782209
