FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;ADJUSTMENT;Correzione;TYPE_ACCOMMODATION;Tipologia di esercizio;ECON_ACTIVITY_NACE_2007;Attività economica (ATECO 2007);COUNTRY_RES_GUESTS;Paese di residenza dei clienti;TIME_PERIOD;Osservazione;OBS_STATUS;"Stato dell""'osservazione'"
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-01;12356
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-02;17016
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-03;23520
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-04;37996
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-05;151139
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-06;225290
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-07;305833
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-08;265877
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-09;247665
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-10;119734
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-11;37037
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2008-12;25165
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-01;22849
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-02;22515
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-03;36013
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-04;79834
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-05;133484
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-06;234641
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-07;303964
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-08;251417
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-09;236373
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-10;120091
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-11;19886
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-12;11104
