FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;ADJUSTMENT;Correzione;TYPE_ACCOMMODATION;Tipologia di esercizio;ECON_ACTIVITY_NACE_2007;Attività economica (ATECO 2007);COUNTRY_RES_GUESTS;Paese di residenza dei clienti;TIME_PERIOD;Osservazione;OBS_STATUS;"Stato dell""'osservazione'"
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-01;107908
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-02;116424
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-03;128108
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-04;149956
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-05;218920
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-06;810754
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-07;1727979
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-08;2666794
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-09;711613
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-10;164643
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-11;109847
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2008-12;111765
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-01;103484
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-02;106478
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-03;112137
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-04;139991
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-05;211632
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-06;754008
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-07;1756663
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-08;2680027
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-09;720739
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-10;157303
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-11;122510
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2009-12;117585
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2010-01;108076
M;Mensile;ITF6;Calabria;NI;Presenze;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';IT;Italia;2010-02;110869
